,Song_Name,Artist,Length,Bpm,Key,Loudness,Popularity,Energy,Speechiness,Danceability,Positiveness,Liveness,Instrumentalness,Release_Date,Country_Code
114,Giddy Up,Katchafire,03:06,125,F Major,-6.54db,34%,63%,4%,83%,97%,6%,0%,24th May 2006,JMA271501714
115,Cheque Book - 2006 Remaster,Dr. Feelgood,04:06,149,A Major,-8.18db,11%,71%,5%,83%,94%,11%,6%,20th February 2015,GBAYE0600582
116,Tokyo Drift (Fast & Furious),Teriyaki Boyz,04:15,127,F# Major,-5.32db,51%,89%,12%,76%,94%,7%,0%,1st January 2006,USUG10600159
117,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
118,Praise You - Radio Edit,Fatboy Slim,03:47,110,C# Major,-6.72db,56%,88%,5%,62%,56%,28%,37%,18th June 2006,GBBMQ0600005
119,Pretty Persuasion - Remastered 2006,R.E.M.,03:51,159,D Major,-5.15db,12%,95%,4%,34%,89%,32%,1%,1st January 2006,USCA20600769
120,,,00:00,0,,0db,0%,0%,0%,0%,0%,0%,0%,1st January 1970,N/A
121,คนๆนี้จะไม่ไปจากเธอ,Soul Out,03:19,146,C# Major,-7.99db,31%,52%,6%,62%,41%,10%,0%,9th November 2016,THRSP1209144
122,Chelsea Dagger,The Fratellis,03:35,155,G Major,-3.21db,61%,82%,16%,51%,57%,8%,0%,1st January 2006,GBUM70601571
123,See My Baby Jive - 2006 Remaster,Wizzard,05:02,137,A Major,-5.18db,41%,95%,8%,36%,52%,34%,0%,3rd April 2006,GBAYE0600806
124,April Sun In Cuba,Dragon,03:47,119,C# Major,-6.08db,48%,78%,3%,74%,75%,6%,0%,1st January 2006,AULI00620980
125,It's The End Of The World As We Know It (And I Feel Fine) - Remastered...,R.E.M.,04:05,103,G Major,-4.62db,16%,95%,5%,34%,77%,4%,0%,1st January 2006,USCA20600783
126,(Your Love Keeps Lifting Me) Higher & Higher,Jackie Wilson,03:01,95,D Major,-6.68db,69%,69%,5%,63%,94%,12%,0%,20th June 2021,USBWC0110047
127,Talk About The Passion - Remastered 2006,R.E.M.,03:22,133,D Major,-7.52db,14%,86%,4%,59%,64%,30%,2%,1st January 2006,USCA20600770
128,What Goes Around.../...Comes Around (Interlude),Justin Timberlake,07:28,76,G Major,-4.75db,71%,72%,7%,69%,43%,57%,0%,12th September 2006,USJI10600479
129,Eperdu,Cocteau Twins,04:38,66,B Major,-7.36db,23%,59%,3%,14%,31%,21%,92%,5th October 2018,GBF089500695
130,Chains,"Ché-Fu, DLT",03:35,90,A# Minor,-8db,40%,77%,11%,83%,63%,7%,0%,28th August 2006,NZBG00000013
131,Rilkean Heart,Cocteau Twins,04:02,90,E Major,-6.22db,28%,58%,3%,40%,50%,8%,0%,5th October 2018,GBF089500692
132,Summer Love,Justin Timberlake,04:12,96,C Minor,-7.23db,68%,59%,9%,61%,48%,33%,0%,12th September 2006,USJI10600503
133,The Mexican,"Marc Hype, Jim Dunloop, Sara Bourgeois",05:26,115,B Minor,-6.26db,20%,69%,5%,73%,41%,59%,79%,1st June 2007,DEGD30600169
134,Not Ready to Make Nice,The Chicks,03:57,84,F# Major,-4.15db,63%,55%,3%,43%,29%,10%,0%,23rd May 2006,USSM10601030
135,Calfskin Smack,Cocteau Twins,04:58,140,F Major,-7.18db,24%,70%,3%,40%,56%,8%,24%,5th October 2018,GBF089500691
136,I Don't Feel Like Dancin' - Radio Edit,Scissor Sisters,04:08,108,G Major,-3.4db,68%,92%,3%,71%,91%,11%,0%,1st January 2006,GBUM70602112
137,Twenty Years - 2006 Remaster,Dwight Yoakam,02:41,112,G Major,-1.99db,4%,96%,6%,52%,88%,15%,0%,12th April 1986,USRE10601986
138,Tears Dry On Their Own,Amy Winehouse,03:06,122,C# Minor,-13.39db,70%,54%,18%,63%,47%,23%,0%,20th June 2021,GBUM70603494
139,Perfect Circle - Remastered 2006,R.E.M.,03:29,117,C Major,-11.99db,11%,55%,3%,60%,64%,32%,0%,1st January 2006,USCA20600782
140,You Know I'm No Good,Amy Winehouse,04:17,103,A Major,-14.22db,72%,50%,3%,69%,80%,6%,0%,20th June 2021,GBUM70603488
141,I Believe - Remastered 2006,R.E.M.,03:49,175,F Major,-5.46db,11%,94%,7%,30%,74%,11%,0%,1st January 2006,USCA20600779
142,I Got,Fast Crew,03:52,112,G Major,-3.68db,37%,71%,28%,95%,84%,8%,0%,1st January 2006,NZAK00400009
143,Finest Worksong - Remastered 2006,R.E.M.,03:48,89,B Major,-4.91db,13%,89%,3%,44%,72%,33%,0%,1st January 2006,USCA20601201
144,You Wish,Nightmares On Wax,03:30,103,A Minor,-9.75db,63%,24%,3%,77%,42%,38%,92%,20th February 2006,GBBPW0500164
145,"You're My Home - Live at Madison Square Garden, New York, NY - 2006",Billy Joel,03:18,94,E Major,-9.6db,16%,66%,3%,33%,38%,96%,0%,3rd May 2019,USSM10601847
146,I Love You Too,Aaradhna,03:31,92,A Major,-6.4db,44%,70%,4%,77%,90%,5%,0%,1st January 2006,NZDR00600012
147,Sitting Still - Remastered 2006,R.E.M.,03:18,155,E Major,-5.62db,12%,92%,6%,47%,93%,18%,0%,1st January 2006,USCA20600772
148,Starlight,Muse,04:00,122,E Major,-4.05db,73%,87%,3%,55%,32%,21%,0%,19th June 2006,GBAHT0500592
149,Pretty Persuasion - Remastered 2006,R.E.M.,03:51,159,D Major,-5.15db,15%,95%,4%,34%,89%,32%,1%,1st January 2006,USCA20600769
150,London Bridge,Fergie,04:01,91,C# Major,-5.89db,64%,61%,36%,77%,63%,17%,0%,1st January 2006,USUM70609276
151,7 Chinese Bros. - Remastered 2006,R.E.M.,04:15,134,C Major,-6.83db,11%,89%,3%,47%,97%,14%,4%,1st January 2006,USCA20600774
152,"Steady, As She Goes",The Raconteurs,03:35,124,A Major,-4.56db,67%,58%,12%,53%,54%,11%,1%,15th May 2006,USVT10600052
153,Pretty Good Year - 2006 Remaster,Tori Amos,03:22,134,F# Major,-12.06db,7%,26%,3%,40%,32%,10%,0%,18th December 2006,USATL0200489
154,One,Shapeshifter,07:07,175,A Major,-8.56db,30%,78%,5%,49%,35%,26%,76%,1st January 2006,NZTT00600010
155,Talk About The Passion - Remastered 2006,R.E.M.,03:22,133,D Major,-7.52db,14%,86%,4%,59%,64%,30%,2%,1st January 2006,USCA20600770
156,Spin 1,"Ché-Fu, Aaradhna",03:48,171,A# Minor,-8.76db,40%,77%,11%,52%,41%,29%,0%,28th August 2006,NZSG00600096
157,Twenty Years - 1981 Demo; 2006 Remaster,Dwight Yoakam,03:03,107,D Major,-3.97db,5%,84%,4%,42%,71%,34%,19%,12th April 1986,USRE10601973
158,Wicked Game - Acoustic; Live,Stone Sour,04:27,109,G# Major,-9.27db,67%,34%,3%,56%,27%,67%,0%,21st June 2021,NLA320784286
159,The More I Get - Teddy's House Groove,"Eastwest Connection, Teddy",07:51,124,F Minor,-6.1db,7%,78%,4%,75%,86%,5%,0%,20th June 1996,GBEEK0400117
160,We Ride,Rihanna,03:56,79,F Minor,-5.47db,62%,74%,28%,39%,77%,31%,0%,10th April 2006,USUM70601925
161,N.W. - 2006 Remastered Version,Marc Moulin,06:41,132,G Minor,-12.87db,15%,41%,17%,80%,67%,10%,37%,12th June 2006,BEC420600003
162,Light Surrounding You,Evermore,03:50,164,D# Major,-6.74db,52%,62%,3%,41%,17%,13%,0%,8th July 2006,AUWA00602370
163,S.U.S. - 2006 Remastered Version,Marc Moulin,04:20,133,D Minor,-11.02db,16%,59%,5%,61%,72%,11%,71%,12th June 2006,BEC420600006
164,Famous Last Words,My Chemical Romance,04:59,122,D Minor,-3.68db,71%,88%,11%,47%,31%,13%,0%,23rd October 2006,USRE10602914
165,Treasure Hiding,Cocteau Twins,04:55,74,C Major,-8.92db,25%,34%,3%,9%,17%,31%,0%,5th October 2018,GBF089500696
166,Unfaithful,Rihanna,03:46,144,C Minor,-8.61db,70%,39%,3%,59%,35%,23%,0%,10th April 2006,USUM70601995
167,Don't Trust No,"Mistah F.A.B., Philthy Rich, Too $hort, Serius Jones",03:52,93,C# Major,-5.2db,17%,58%,19%,80%,50%,8%,0%,24th August 2018,USUYG1213933
168,Crazy? Yes! Dumb? No!,The Mint Chicks,04:40,120,C Major,-8.83db,39%,47%,5%,77%,38%,11%,0%,23rd October 2006,NZWM01500060
169,Somuthafuckinloud,"Mistah F.A.B., Iamsu!, E-40",03:56,102,A# Minor,-4.77db,16%,83%,22%,88%,54%,7%,0%,24th August 2018,USUYG1213928
170,Candyman,Christina Aguilera,03:14,173,G# Minor,-4.71db,68%,79%,23%,69%,72%,14%,1%,14th August 2006,USRC10600413
171,Driver 8 - Remastered 2006,R.E.M.,03:23,161,G Major,-6.15db,14%,91%,4%,38%,82%,19%,10%,1st January 2006,USCA20600776
172,Animal I Have Become,Three Days Grace,03:51,122,G# Major,-3.67db,73%,85%,3%,55%,51%,13%,0%,25th June 2006,USJI10600117
173,Seekers Who Are Lovers,Cocteau Twins,04:45,80,G Minor,-6.14db,30%,55%,3%,31%,42%,14%,0%,5th October 2018,GBF089500697
174,Mardy Bum,Arctic Monkeys,02:55,112,D Major,-5.45db,58%,60%,4%,63%,31%,20%,0%,29th January 2006,GBCEL0501188
175,Love?,Strapping Young Lad,04:53,142,F# Minor,-5.67db,51%,98%,21%,22%,22%,48%,7%,1st January 2008,US4E40532704
176,U + Ur Hand,P!nk,03:34,141,C Major,-3.69db,68%,89%,5%,71%,89%,3%,0%,4th April 2006,USLF20500242
177,The Best of Chillifunk Ten Years 1996-2006 (Notenshun Bonus DJ Mix),Various Artists,12:48,127,C# Major,-6.8db,0%,83%,4%,75%,72%,4%,18%,20th June 1996,DEZ650601200
178,Cruisin' - Single Edit,"Huey Lewis, Gwyneth Paltrow",03:34,83,E Major,-6.46db,57%,65%,4%,75%,82%,5%,0%,1st January 2006,USNPD0600195
179,Stomp - 2006 Remastered Version,Marc Moulin,07:32,93,G Minor,-9.77db,18%,60%,3%,68%,89%,9%,40%,12th June 2006,BEC420600009
180,Sweet Pea,Amos Lee,02:09,102,B Major,-9.41db,68%,29%,6%,95%,82%,23%,0%,1st January 2006,USBN20600451
181,Cuyahoga - Remastered 2006,R.E.M.,04:21,123,D Major,-6.46db,11%,79%,4%,52%,65%,9%,0%,1st January 2006,USCA20600781
182,Bandoleros,"Don Omar, Tego Calderon",05:05,91,F Minor,-5.31db,73%,90%,25%,66%,79%,19%,0%,20th June 2006,US96R0500002
183,"A Room of Our Own - Live at Madison Square Garden, New York, NY - 2006",Billy Joel,04:09,186,C# Major,-8.39db,14%,80%,7%,32%,55%,75%,0%,3rd May 2019,USSM10601897
184,Snap Yo Fingers,"Youngbloodz, Sean Paul, E-40, Lil Jon",04:34,82,G# Minor,-5.03db,68%,76%,23%,84%,63%,29%,0%,2nd May 2006,USTV10600013
185,Driver 8 - Remastered 2006,R.E.M.,03:23,161,G Major,-6.15db,13%,91%,4%,38%,82%,19%,10%,1st January 2006,USCA20600776
